"George Washington University","USA","Caribbean"
"University of Milan","Italy","Western Europe"
"Iowa State University","USA","Caribbean"
"University of Maryland, Baltimore","USA","Caribbean"
"University of Padua","Italy","Western Europe"
"University of New Mexico","USA","Caribbean"
"Pohang University of Science and Technology","South Korea","Eastern Asia"
"Stockholm University","Sweden","Western Europe"
"Hokkaido University","Japan","Eastern Asia"
"Fudan University","China","Eastern Asia"
"University of Sussex","United Kingdom","Western Europe"
"Université catholique de Louvain","Belgium","Western Europe"
"Wayne State University","USA","Caribbean"
"University of Massachusetts Medical School","USA","Caribbean"
"University of Lausanne","Switzerland","Western Europe"
"Shanghai Jiao Tong University","China","Eastern Asia"
"University of Missouri–Columbia","USA","Caribbean"
"Technical University of Denmark","Denmark","Western Europe"
"Complutense University of Madrid","Spain","Western Europe"
"University of Cologne","Germany","Western Europe"
"Trinity College, Dublin","Ireland","Western Europe"
